Class,Position,Sail Number,Sailor(s),Boat Name/Club,Points,R1,R2,R3,R4,R5,R6
420 Champ,1,,Brooks Reed,Hingham Yacht Club,8,1,1,3,1,2,-20
420 Champ,,USA 871,Trent Hesselman,,,,,,,,
420 Champ,2,,Sawyer Reed,Hingham Yacht Club,20,2,3,5,5,-17,5
420 Champ,,USA 8241,Andrew Engel,,,,,,,,
420 Champ,3,,James Knowlton,Buck's Harbor Yacht Club,21,5,7,-13,2,5,2
420 Champ,,USA 1905,Sloan Phillips,,,,,,,,
420 Champ,4,,Ian McCaffrey,Kiss My Transom,22,3,8,1,-9,7,3
420 Champ,,USA 2296,Katy Benagh,Sandy Bay Yacht Club,,,,,,,
420 Champ,5,,Sandy Yale,Portland Yacht Club,28,8,2,11,-12,3,4
420 Champ,,USA 6906,Elsa Dean-Muncie,,,,,,,,
420 Champ,6,,Gunnar Nee,Cohasset Yacht Club,28,4,4,6,3,11,-25
420 Champ,,USA 10,Tegan Sturdy,,,,,,,,
420 Champ,7,,Porter Bell,Hingham Yacht Club,30,12,-13,2,4,6,6
420 Champ,,USA 8497,Haley Nelson,,,,,,,,
420 Champ,8,,Ben Trotsky,Sandy Bay Yacht Club,34,6,6,-17,6,8,8
420 Champ,,USA 7273,Max Mercer,,,,,,,,
420 Champ,9,,Nathan Selian,Harraseeket Yacht Club,44,11,14,4,8,-19,7
420 Champ,,USA 8696,Kique Ruiz,,,,,,,,
420 Champ,10,,Ashley Hoguet,Pleon YC,53,15,11,9,7,-30,11
420 Champ,,USA 781,Jessica West,,,,,,,,
420 Champ,11,,Samuel Rooks,Portland Yacht Club,62,-29,16,8,19,18,1
420 Champ,,USA 6905,Danika Hluska,,,,,,,,
420 Champ,12,,Sam Dunn,Hingham Yacht Club,62,-25,10,18,10,12,12
420 Champ,,USA 8495,Trevor Buckeridge,,,,,,,,
420 Champ,13,,James Leavitt,Portland Yacht CLub,66,7,-21,15,11,20,13
420 Champ,,USA 7199,Maddie Marston,,,,,,,,
420 Champ,14,,Eva Ermlich,Sail Maine,69,10,23,21,14,1,-24
420 Champ,,USA 596,Valyn Mogensen,,,,,,,,
420 Champ,15,,Hailee McSweeney,debie mcsweeney,69,9,5,-23,22,15,18
420 Champ,,USA 7742,Calvin May,Agamenticus Yacht Club,,,,,,,
420 Champ,16,,Sean Montgomery,Cottage Park Yacht Club,72,19,19,7,17,10,-26
420 Champ,,USA 7340,Emily Rodriguez,,,,,,,,
420 Champ,17,,Tom Rogers,Ellen Rogers,73,16,20,10,13,14,-22
420 Champ,,USA 8720,Kate Rogers,Hingham Yacht Club,,,,,,,
420 Champ,18,,Michael Cunniff,Pleon Yacht Club,75,13,-28,16,21,16,9
420 Champ,,USA 6491,Mabel Sliney,,,,,,,,
420 Champ,19,,John O'Rourke,Agamenticus Yacht Club,78,14,25,19,16,4,-27
420 Champ,,USA 7748,,,,,,,,,
420 Champ,20,,Gavin Sanborn,SailMaine,83,18,17,22,-30,9,17
420 Champ,,USA 744,JOHN Horangic,,,,,,,,
420 Champ,21,,Connor Corcoran,Sail Maine,86,17,12,20,-24,22,15
420 Champ,,USA 4061,Aiden Springer,,,,,,,,
420 Champ,22,,Jacob Selian,Harraseeket Yacht Club,103,23,9,24,26,-33,21
420 Champ,,USA 8618,Jackson Giumarro,,,,,,,,
420 Champ,23,,JD Comeau,Cohasset Yacht Club,104,20,18,27,-28,23,16
420 Champ,,USA 11,Charlie Comeau,,,,,,,,
420 Champ,24,,Wil Lawton,Cottage Park Yacht Club,112,22,27,25,25,13,-28
420 Champ,,USA 1730,ty calinda,,,,,,,,
420 Champ,25,,Amanda Gary,Pleon,112,28,-31,26,15,24,19
420 Champ,,USA 1244,Alexandra Lacerda Jones,,,,,,,,
420 Champ,26,,Owen Cooper,MSA,118,21,24,(RET-39),23,27,23
420 Champ,,USA 8706,Andrew Torri,,,,,,,,
420 Champ,27,,Oliver Dunton,SBYC,121,26,30,12,20,-35,33
420 Champ,,USA 6118,Toby Ting,,,,,,,,
420 Champ,28,,Ella McCarey,Fight Club,122,32,22,-33,33,25,10
420 Champ,,USA 8488,Nora McCarey,Cottage Park Yacht Club,,,,,,,
420 Champ,29,,Christopher Pandapas,Pleon,128,24,26,14,-35,32,32
420 Champ,,USA 5991,Nick Thibodeau,,,,,,,,
420 Champ,30,,Jackson Burke,MSA,130,31,15,35,18,-36,31
420 Champ,,USA 8764,Jack Laffy,,,,,,,,
420 Champ,31,,Emma Cole,Portland Yacht Club,139,-36,29,30,32,34,14
420 Champ,,USA 1,Kieran Elliott,,,,,,,,
420 Champ,32,,John Cataldo,Cottage park yacht club,144,27,-36,32,29,21,35
420 Champ,,USA 1357,Joseph Cataldo,,,,,,,,
420 Champ,33,,Hunter Kennedy,Cottage Park Yacht Club,148,-35,33,31,27,28,29
420 Champ,,USA 8418,Antea Schlichting,,,,,,,,
420 Champ,34,,Luke Elmer,Pleon,153,30,32,-34,31,26,34
420 Champ,,USA 2141,Whit Tedford,,,,,,,,
420 Champ,35,,Trey penna,AYC,156,DNC-39,-,-,DNC-39,DNC-39,DNC-39
420 Champ,,USA 15,,,,,,,,,
420 Champ,36,,Will Romac,Harraseeket Yacht Club,158,34,34,29,-36,31,30
420 Champ,,USA 8690,Daisy Brewer,,,,,,,,
420 Champ,37,,Molly Lane,Pleon,159,33,35,28,34,29,-37
420 Champ,,USA 7127,Lane Kaeyer,,,,,,,,
420 Champ,38,,Aiden Harrison,Manchester Sailing Association,183,37,37,36,37,(RET-39),36
420 Champ,,USA 8705,Ari Brzezinski,,,,,,,,