Class,Position,Sail Number,Sailor(s),Division,Boat Name/Club,Points,R1,R2,R3,R4,R5,R6,R7
Laser,1,,Niall Kearney,Smythe Qualifier,Ed,10,1,-6,1,1,3,1,3
Laser,,USA 189769,,,Eastern Yacht Club,,,,,,,,
Laser,2,,Charlie Morris,,Hingham Yacht Club,22,2,1,6,(DSQ-21),4,5,4
Laser,,USA 207217,,,,,,,,,,,
Laser,3,,Jacob Macdonald,Smythe Qualifier,Mendums Seacoast Sailing Team,23,3,7,5,-10,1,6,1
Laser,,USA 151746,,,,,,,,,,,
Laser,4,,Morgan Cheney,Smythe Qualifier,PLEON,25,6,4,3,3,6,3,-7
Laser,,USA 189722,,,,,,,,,,,
Laser,5,,Charles Anderson,Smythe Qualifier,Charlie's Craft,26,5,3,4,5,5,4,-9
Laser,,USA 183904,,,Pleon Yacht Club,,,,,,,,
Laser,6,,Mason Cheney,Smythe Qualifier,PLEON,30,4,5,2,-8,7,7,5
Laser,,USA 176139,,,,,,,,,,,
Laser,7,,Felix Zeller,,BCRP,40,7,13,7,9,2,2,-14
Laser,,USA 179455,,,,,,,,,,,
Laser,8,,Cole Amaral,Smythe Qualifier,BCRP,45,8,2,10,6,8,-13,11
Laser,,USA 188844,,,,,,,,,,,
Laser,9,,Harper Cartwright,Smythe Qualifier,Northern Lake George Yacht Club,55,-13,10,12,2,10,8,13
Laser,,USA 196272,,,,,,,,,,,
Laser,10,,George Huffman,Smythe Qualifier,Northern Lake George Yacht Club,58,10,11,9,4,-18,9,15
Laser,,USA 177380,,,,,,,,,,,
Laser,11,,Anna LaDue,Smythe Qualifier,Mendums Seacoast Sailing,59,12,9,11,-14,9,10,8
Laser,,USA 174243,,,,,,,,,,,
Laser,12,,Nikki Buhac,Smythe Qualifier,Northern Lake George Yacht Club,62,-16,8,15,7,16,14,2
Laser,,USA 172915,,,,,,,,,,,
Laser,13,,Willem Weinberg,,Sail Newport,65,9,-14,8,12,12,12,12
Laser,,USA 190464,,,,,,,,,,,
Laser,14,,Leo terry,,Castine yacht club,66,-14,12,13,13,11,11,6
Laser,,USA 154443,,,,,,,,,,,
Laser,15,,Maeve Harrington,,Sail Newport,82,15,-17,17,11,13,16,10
Laser,,USA 191525,,,,,,,,,,,
Laser,16,,Molly Heilshorn,,SailMaine,86,11,-16,14,15,15,15,16
Laser,,USA 190433,,,,,,,,,,,
Laser,17,,James E Sullivan III,Smythe Qualifier,Mendum Seacoast Sailing,96,17,15,-18,16,14,17,17
Laser,,USA 17,,,,,,,,,,,
Laser,18,,Jillian Carr,,Agamenticus Yacht Club,107,-19,19,16,18,17,19,18
Laser,,USA 151738,,,,,,,,,,,
Laser,19,,Lachlan Hartshorn,,Pleon,111,18,18,19,17,(OCS-21),18,OCS-21
Laser,,USA 176222,,,,,,,,,,,
Laser,20,,Terry Fitz-Gerald,,PYC 5,117,20,(DNS-21),20,19,19,20,19
Laser,,USA 94,,,Pleon,,,,,,,,