Class,Position,Sail Number,Sailor(s),Boat Name/Club,Points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
Opti Green,1,,DB Murray,Pleon YC,19,3,1,4,2,2,3,1,1,1,-6,1
Opti Green,,USA 10012,,,,,,,,,,,,,,
Opti Green,2,,Jack Morgan,Jack Attack,25,1,2,6,3,3,1,-10,4,2,1,2
Opti Green,,USA 16757,,Pleon,,,,,,,,,,,,
Opti Green,3,,Sander Skaane,Zingy,25,2,3,2,1,1,4,2,2,-5,3,5
Opti Green,,USA 13563,,Pleon,,,,,,,,,,,,
Opti Green,4,,Stevie Wales,Kiler Wale II,64,5,9,5,7,6,7,7,-12,4,10,4
Opti Green,,USA 22263,,Pleon,,,,,,,,,,,,
Opti Green,5,,Julius Dressel,Ribbet,70,9,4,3,6,4,10,4,6,-13,13,11
Opti Green,,USA 18640,,Pleon YC,,,,,,,,,,,,
Opti Green,6,,Lucy Key,Pleon,74,-17,6,7,9,10,9,8,7,11,4,3
Opti Green,,USA 17396,,,,,,,,,,,,,,
Opti Green,7,,Callum Eager,Tempest,75,4,(DNF-33),DNS-33,8,5,2,9,3,3,2,6
Opti Green,,USA 6917,,Pleon,,,,,,,,,,,,
Opti Green,8,,Suleb Noir,Corinthians,77,8,7,15,-17,7,5,5,10,8,5,7
Opti Green,,USA 15862,,,,,,,,,,,,,,
Opti Green,9,,Will Cruikshank,Pleon,92,6,10,-18,15,8,6,3,11,6,15,12
Opti Green,,USA 17894,,,,,,,,,,,,,,
Opti Green,10,,Joshua holden,SBYC,96,10,5,10,-19,9,12,16,8,7,9,10
Opti Green,,USA 4,,,,,,,,,,,,,,
Opti Green,11,,Henry Bertrand,Pleon,113,7,11,8,11,-19,13,15,5,18,16,9
Opti Green,,USA 13144,,,,,,,,,,,,,,
Opti Green,12,,Maisie Leland,Annisquam,116,12,16,1,4,12,14,-25,13,10,19,15
Opti Green,,USA 12393,,,,,,,,,,,,,,
Opti Green,13,,Maggie Svencer,Corinthian Yacht Club,119,18,14,9,13,11,8,12,-23,19,7,8
Opti Green,,USA 20623,,,,,,,,,,,,,,
Opti Green,14,,Finn Schrafft,Sandy Bay Yacht Club,120,11,13,12,5,(DNF-33),16,6,14,16,8,19
Opti Green,,USA 12,,,,,,,,,,,,,,
Opti Green,15,,David Kane,CYC Opti,133,13,8,11,16,-17,15,13,16,15,12,14
Opti Green,,USA 21171,,CYC,,,,,,,,,,,,
Opti Green,16,,Leo Fenollosa,Time Bandit,170,15,12,13,10,15,11,14,26,25,-31,29
Opti Green,,USA 9286,,Annisquam Yacht Club,,,,,,,,,,,,
Opti Green,17,,Sage Wadlow,Lightning Five,188,20,-29,27,24,24,21,17,19,12,11,13
Opti Green,,USA 15854,,CYC,,,,,,,,,,,,
Opti Green,18,,Rory Donegan,Sting,188,14,21,22,14,-29,20,11,21,21,20,24
Opti Green,,USA 5468,,Pleon,,,,,,,,,,,,
Opti Green,19,,Mia McCoy,CYC,193,24,15,17,18,16,-28,23,20,26,18,16
Opti Green,,USA 21170,,,,,,,,,,,,,,
Opti Green,20,,Sophia Patterson,Boat 7,202,-29,25,21,22,25,19,22,18,14,14,22
Opti Green,,USA 15865,,Corinthian,,,,,,,,,,,,
Opti Green,21,,Cooper Jobe,MSA,203,19,24,24,26,21,-30,18,28,9,17,17
Opti Green,,USA 159,,,,,,,,,,,,,,
Opti Green,22,,Enzo Peabody,EYC,206,16,22,20,21,18,23,21,-27,24,23,18
Opti Green,,USA 006,,,,,,,,,,,,,,
Opti Green,23,,Gibson Roland,EYC,207,21,19,19,20,26,25,28,9,17,-29,23
Opti Green,,USA 19876,,,,,,,,,,,,,,
Opti Green,24,,Kay Wetmore,Boat 9,215,27,20,16,12,13,22,26,-29,27,27,25
Opti Green,,USA 15866,,CYC,,,,,,,,,,,,
Opti Green,25,,Owen Kearney,Eastern Yacht Club,228,22,27,14,28,22,24,-29,24,23,24,20
Opti Green,,USA 3,,,,,,,,,,,,,,
Opti Green,26,,Brennan Waters,CYC Opti,241,23,17,29,23,14,17,(DNF-33),DNS-33,DNF-33,25,27
Opti Green,,USA 20624,,CYC,,,,,,,,,,,,
Opti Green,27,,Kaiya Olson,SeaU l8r,242,26,23,25,-29,23,29,19,22,28,26,21
Opti Green,,USA 10297,,Annisquam Yacht Club,,,,,,,,,,,,
Opti Green,28,,Tessa Peterman,Sandy Bay Yacht Club,248,28,28,23,-30,20,27,27,17,22,30,26
Opti Green,,USA 10,,,,,,,,,,,,,,
Opti Green,29,,Shane lucas,Pleon,249,31,18,28,25,27,26,(DNF-33),25,20,21,28
Opti Green,,USA 113321,,,,,,,,,,,,,,
Opti Green,30,,Finn Wilkinson,Sandy Bay Yacht Club,270,30,(DNF-33),RET-33,RET-33,RET-33,18,20,15,DNF-33,22,DNF-33
Opti Green,,USA 9,,,,,,,,,,,,,,
Opti Green,31,,Chase McCoy,CYC,274,25,26,26,27,28,31,24,30,29,28,(DNF-33)
Opti Green,,USA 13232,,,,,,,,,,,,,,
Opti Green,32,,Hunter Opal,Manchester Sailing Association,330,(DNC-33),DNC-33,DNC-33,DNC-33,DNC-33,DNC-33,DNC-33,DNC-33,DNC-33,DNC-33,DNC-33
Opti Green,,USA 117396,,,,,,,,,,,,,,